State,Region,Division,Name,POPESTIMATE2010,POPESTIMATE2011,HUEST_2010,HUEST_2011
1,South,East South Central,Alabama,4784762,4803689,2173898,2182088
2,Midwest,Pacific,Alaska,714046,723860,307815,311201
4,West,Mountain,Arizona,6410810,6467315,2848487,2864335
5,South,West South Central,Arkansas,2922750,2938582,1317915,1324369
6,West,Pacific,California,37334410,37683933,13688154,13720462
8,West,Mountain,Colorado,5048472,5116302,2215237,2224603
9,Northeast,New England,Connecticut,3576616,3586717,1489117,1494019
10,South,South Atlantic,Delaware,899824,908137,406659,409757
11,South,South Atlantic,District of Columbia,604989,619020,297156,298902
12,South,South Atlantic,Florida,18845967,19082262,8997061,9026965
13,South,South Atlantic,Georgia,9714748,9812460,4091640,4102992
15,West,Pacific,Hawaii,1364274,1378129,520069,522305
16,West,Mountain,Idaho,1570784,1583744,669114,674394
17,Midwest,East North Central,Illinois,12840459,12859752,5296832,5297318
18,Midwest,East North Central,Indiana,6489856,6516353,2796556,2800614
19,Midwest,West North Central,Iowa,3050321,3064097,1337237,1340529
20,Midwest,West North Central,Kansas,2858837,2870386,1234105,1237651
21,South,East South Central,Kentucky,4346655,4366814,1928255,1932599
22,South,West South Central,Louisiana,4544125,4574766,1967756,1978848
23,Northeast,New England,Maine,1327585,1328544,722579,725577
24,South,South Atlantic,Maryland,5787998,5839572,2381320,2391350
25,Northeast,New England,Massachusetts,6563259,6607003,2810394,2818940
26,Midwest,East North Central,Michigan,9877670,9876801,4530882,4525480
27,Midwest,West North Central,Minnesota,5310737,5347299,2348568,2354034
28,South,East South Central,Mississippi,2969137,2977457,1276119,1281711
29,Midwest,West North Central,Missouri,5996092,6008984,2714863,2723415
30,West,Mountain,Montana,990735,997667,484093,489157
31,Midwest,West North Central,Nebraska,1829696,1842234,797673,801185
32,West,Mountain,Nevada,2703758,2720028,1175827,1183873
33,Northeast,New England,New Hampshire,1316843,1317807,615344,617704
34,Northeast,Middle Atlantic,New Jersey,8803388,8834773,3555361,3562553
35,West,Mountain,New Mexico,2064767,2078674,902734,908132
36,Northeast,Middle Atlantic,New York,19399242,19501616,8110354,8119364
37,South,South Atlantic,North Carolina,9559048,9651103,4334566,4362740
38,Midwest,West North Central,North Dakota,674363,684740,318181,320909
39,Midwest,East North Central,Ohio,11538290,11541007,5128696,5133446
40,South,West South Central,Oklahoma,3759482,3784163,1666443,1674685
41,West,Pacific,Oregon,3838212,3868229,1677289,1684193
42,Northeast,Middle Atlantic,Pennsylvania,12711308,12743948,5569709,5579275
44,Northeast,New England,Rhode Island,1052769,1050646,463656,464728
45,South,South Atlantic,South Carolina,4635835,4673348,2141551,2157033
46,Midwest,West North Central,South Dakota,816223,823593,364052,366540
47,South,East South Central,Tennessee,6356673,6399787,2815511,2829025
48,South,West South Central,Texas,25242683,25631778,10001712,10098750
49,West,Mountain,Utah,2775093,2814347,982382,993060
50,Northeast,New England,Vermont,625916,626592,322907,324389
51,South,South Atlantic,Virginia,8025105,8104384,3369482,3387654
53,West,Pacific,Washington,6743636,6823267,2890038,2907490
54,South,South Atlantic,West Virginia,1854019,1854908,881888,881752
55,Midwest,East North Central,Wisconsin,5689591,5709843,2626443,2634781
56,West,Mountain,Wyoming,564367,567356,262602,265528
